Date,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Series_Complete_Yes,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Additional_Doses,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen
04/24/2022,VI,148360,2900,39540,105920,56658,2091,15698,38863,16770.0,5669.0,10957.0,142.0
04/24/2022,TX,61492635,2630600,22074680,36787355,17776554,1357844,6103210,10314421,6691302.0,2915799.0,3675394.0,99875.0
04/24/2022,NE,3952810,150200,1384280,2418330,1228118,88665,415671,722088,619928.0,243583.0,368977.0,6928.0
04/24/2022,FL,47906885,2374200,17731520,27801165,14361175,1359878,4871164,8089906,5749029.0,2467962.0,3168736.0,104847.0
04/24/2022,OH,23090255,983300,8678140,13428815,6816876,552195,2392013,3867206,3535650.0,1503914.0,1971462.0,59328.0
04/24/2022,ME,3384350,153600,1333520,1897230,1067096,131758,384232,550271,593905.0,271281.0,311174.0,10834.0
04/24/2022,NH,3482030,179400,1224740,2077890,952506,79011,342930,530460,416480.0,177967.0,230983.0,7513.0
04/24/2022,GU,320560,24100,85780,210680,139016,11101,40457,87352,60523.0,21801.0,37325.0,1397.0
04/24/2022,MA,16882710,617200,6407620,9857890,5430390,381260,1908847,3140075,2772159.0,1291735.0,1453492.0,26907.0
04/24/2022,MS,5513315,226700,2227760,3058855,1539752,86077,585339,867057,570924.0,265618.0,296467.0,8145.0
04/24/2022,KY,8843475,381100,3639400,4822975,2560394,210815,978761,1368987,1129867.0,509626.0,596422.0,23603.0
04/24/2022,UT,6246850,246200,2118160,3882490,2057203,169883,667191,1220115,911502.0,349287.0,549729.0,12479.0
04/24/2022,WV,4059145,165700,1621320,2272125,1030401,60934,422581,546411,469629.0,221711.0,242796.0,5046.0
04/23/2022,AR,6159080,253500,2585520,3320060,1639063,112804,665323,859594,645993.0,314292.0,321268.0,9946.0
04/23/2022,MH,101680,12600,57000,32080,26900,2783,20198,3916,6679.0,6337.0,314.0,28.0
04/23/2022,AS,117010,600,24100,92310,41354,581,9421,30819,21974.0,4571.0,17401.0,2.0
04/23/2022,MA,16882710,617200,6407620,9857890,5430274,381255,1908790,3140021,2771983.0,1291645.0,1453408.0,26906.0
04/23/2022,UT,6246850,246200,2118160,3882490,2057183,169883,667182,1220104,911480.0,349267.0,549728.0,12478.0
04/23/2022,MS,5513315,226700,2227760,3058855,1539711,86075,585322,867037,570885.0,265591.0,296457.0,8143.0
04/23/2022,GA,21610795,830500,8425940,12354355,5796534,319789,2142579,3322076,2155116.0,961181.0,1167004.0,25194.0
04/23/2022,KS,6015015,256300,2310940,3447775,1785260,126284,635907,1022298,759276.0,327826.0,420426.0,10782.0
04/23/2022,VI,148360,2900,39540,105920,56656,2091,15698,38861,16769.0,5669.0,10956.0,142.0
04/23/2022,NC,21940000,929000,8270060,12740940,6381616,484169,2208251,3689043,1682912.0,737246.0,917028.0,28610.0
04/23/2022,HI,3451780,124400,1290620,2036760,1106490,65234,364677,676563,563596.0,251477.0,305944.0,6173.0
04/23/2022,FM,163400,12800,89940,60660,56191,12477,31662,12034,14072.0,12846.0,865.0,361.0
04/23/2022,DD2,6676310,210500,2189540,4276270,3169692,292146,978884,1898434,1847.0,593.0,1221.0,33.0
04/23/2022,TN,12844430,513000,4910440,7420990,3716881,235832,1320416,2148155,1628157.0,689043.0,912747.0,22250.0
04/23/2022,DC,1873105,70800,666180,1136125,521248,39444,178051,303257,196807.0,82954.0,112313.0,1463.0
04/23/2022,OK,7279730,323100,3050080,3906550,2259706,143861,854496,1260992,844423.0,386745.0,445519.0,12026.0
04/23/2022,MT,1969195,104800,809700,1054695,605522,54954,237085,312968,287649.0,135079.0,147104.0,5098.0
04/23/2022,IH2,2922095,107100,1294480,1520515,868613,38541,392884,437182,270904.0,129427.0,139120.0,2238.0
04/23/2022,MN,12607330,503400,4483620,7620310,3894685,328093,1301557,2263333,2233194.0,892173.0,1311828.0,28800.0
04/23/2022,PW,44990,3800,29000,12190,18132,2354,12663,3065,11339.0,10466.0,873.0,0.0
04/23/2022,BP2,346830,16100,154120,176610,134543,13488,53620,67435,47649.0,29142.0,17842.0,643.0
04/23/2022,ND,1379800,52900,531120,795780,418019,36549,145526,235930,168720.0,77534.0,88668.0,2511.0
04/23/2022,AK,1529365,85000,592820,851545,455092,41710,160883,252370,195694.0,86656.0,106058.0,2950.0
04/23/2022,NE,3952810,150200,1384280,2418330,1228104,88663,415665,722082,619923.0,243583.0,368972.0,6928.0
04/23/2022,IA,6586655,289900,2539720,3757035,1951480,163149,714970,1072951,1031631.0,469457.0,548036.0,14081.0
04/23/2022,OR,10009685,462500,3768060,5779125,2931850,247135,1000727,1678286,1557949.0,661096.0,872249.0,23926.0
04/23/2022,TX,61492535,2630600,22074580,36787355,17772322,1357725,6102465,10311054,6685193.0,2913358.0,3671754.0,99846.0
04/23/2022,WI,11572845,452300,4336900,6783645,3811557,300183,1335345,2175120,2134152.0,886405.0,1220413.0,27204.0
04/23/2022,WA,17722795,757600,6432000,10533195,5518397,452293,1898031,3163798,2872499.0,1244727.0,1588990.0,37778.0
04/23/2022,MP,125030,3600,25320,96110,43268,1158,5212,36897,20922.0,4147.0,16566.0,209.0
04/23/2022,RI,2581625,89000,981800,1510825,872029,60525,291811,519247,465083.0,197516.0,262383.0,5123.0
04/23/2022,NV,5928810,259000,2031400,3638410,1869183,172451,604021,1092645,718232.0,294261.0,411716.0,12250.0
04/23/2022,SC,10465475,453000,4356440,5656035,2915921,207426,1039538,1668566,1142404.0,489456.0,630201.0,22240.0
04/23/2022,US,723181345,30682200,268274180,424224965,219280491,16933070,76305641,125886161,99988588.0,42998912.0,55462505.0,1496486.0
04/23/2022,GU,320560,24100,85780,210680,139015,11101,40457,87351,60523.0,21801.0,37325.0,1397.0
04/23/2022,MO,11567505,427200,4406060,6734245,3434743,237857,1166992,2029134,1451600.0,593899.0,840006.0,17619.0
04/23/2022,CA,89810155,3714200,32213180,53882775,28415994,2097216,9732702,16580948,14352869.0,6165576.0,7962496.0,224217.0
04/23/2022,NJ,21917955,963600,7875380,13078975,6703863,515325,2309319,3877655,3164483.0,1345068.0,1753205.0,66129.0
04/23/2022,CT,8728425,344300,3365280,5018845,2817474,230986,951054,1634980,1451583.0,661895.0,771838.0,17826.0
04/23/2022,CO,12429675,491100,4568840,7369735,4038454,312024,1436546,2287042,2086690.0,920660.0,1139216.0,26128.0
04/23/2022,SD,1868365,90800,745700,1031865,541789,39073,197840,304837,224877.0,101238.0,120742.0,2884.0
04/23/2022,AZ,14782820,608100,5638220,8536500,4472642,333036,1637645,2493873,1861959.0,816397.0,1019711.0,23974.0
04/23/2022,NM,4437145,187300,1734100,2515745,1486884,109874,562074,812630,735043.0,308450.0,415613.0,10718.0
04/23/2022,VA2,8036420,626400,3912380,3497640,2945204,233585,1444090,1267517,1137711.0,601986.0,514582.0,21143.0
04/23/2022,VT,1788850,72200,698680,1017970,505457,47348,178275,279564,303847.0,130071.0,169259.0,4500.0
04/23/2022,IL,27337145,1166400,9500140,16670605,8680224,624096,2811906,5234837,4422457.0,1797312.0,2569691.0,53699.0
04/23/2022,WV,4059145,165700,1621320,2272125,1030358,60934,422551,546398,469578.0,221674.0,242782.0,5046.0
04/23/2022,KY,8843475,381100,3639400,4822975,2559767,210774,978534,1368628,1129020.0,509235.0,595979.0,23590.0
04/23/2022,MI,21141910,939900,8351120,11850890,5997663,420717,2174188,3401615,3243171.0,1444552.0,1750631.0,47851.0
04/23/2022,OH,23090255,983300,8678140,13428815,6815447,552096,2391544,3866347,3532906.0,1502835.0,1969818.0,59308.0
04/23/2022,ME,3384350,153600,1333520,1897230,1067066,131758,384216,550257,593865.0,271260.0,311155.0,10834.0
04/23/2022,FL,47906585,2374200,17731520,27800865,14357282,1359670,4870001,8087409,5742133.0,2465017.0,3164872.0,104782.0
04/23/2022,IN,13377880,605800,4699800,8072280,3686159,281346,1252863,2143462,1685097.0,655976.0,1006206.0,21380.0
04/23/2022,PA,30422425,1525100,11606060,17291265,8734730,723418,3124453,4886175,3705817.0,1622480.0,2022432.0,60828.0
04/23/2022,ID,3381990,157200,1320680,1904110,964412,81334,330077,552166,405054.0,177559.0,221138.0,6251.0
04/23/2022,PR,7457550,214500,2632520,4610530,2646398,139345,952292,1554645,1530998.0,607960.0,911652.0,11366.0
04/23/2022,DE,2343455,98800,906100,1338555,671307,57082,235262,378249,304157.0,130616.0,168339.0,5144.0
04/23/2022,NY,45898455,1887800,16192600,27818055,14931530,1252415,4993649,8679153,6781378.0,2883654.0,3780991.0,116138.0
04/23/2022,MD,15780170,606200,5388160,9785810,4562530,326500,1518452,2713018,2308277.0,963375.0,1308440.0,35557.0
04/23/2022,NH,3482030,179400,1224740,2077890,952281,79010,342898,530268,416393.0,177936.0,230928.0,7512.0
04/23/2022,LA,8203850,325100,3351180,4527570,2482941,180500,960568,1340759,975517.0,432316.0,529679.0,13438.0
04/23/2022,WY,972085,48100,429140,494845,297974,26790,119770,151272,128189.0,58956.0,67347.0,1834.0
04/23/2022,AL,9645340,396900,4201560,5046880,2502211,165834,1030226,1305449,888018.0,437126.0,434959.0,15808.0
04/23/2022,VA,19594285,781000,6955600,11857685,6234128,454430,2017780,3758170,2936515.0,1217638.0,1673855.0,44215.0
04/22/2022,KY,8830975,381000,3636000,4813975,2559319,210745,978360,1368383,1128392.0,508940.0,595659.0,23579.0
04/22/2022,WA,17671395,757400,6414800,10499195,5516944,452226,1897646,3162809,2870112.0,1243813.0,1587553.0,37747.0
04/22/2022,OK,7261130,323000,3047480,3890650,2258126,143792,853880,1260109,843063.0,386152.0,444785.0,12015.0
04/22/2022,SD,1863665,90800,744500,1028365,541470,39063,197744,304624,224559.0,101088.0,120579.0,2879.0
04/22/2022,MO,11541505,426700,4392460,6722345,3433698,237820,1166630,2028489,1450327.0,593397.0,839247.0,17607.0
04/22/2022,US,721895045,30657800,267800880,423436365,219208559,16929884,76281565,125841802,99888928.0,42957183.0,55405971.0,1495274.0
04/22/2022,DD2,6675310,210500,2189440,4275370,3168477,292034,978578,1897640,1843.0,590.0,1220.0,33.0
04/22/2022,IH2,2917395,107100,1291280,1519015,868196,38527,392691,436972,270429.0,129196.0,138884.0,2230.0
04/22/2022,MD,15754570,606200,5370760,9777610,4561196,326457,1518082,2712104,2306180.0,962574.0,1307160.0,35547.0
04/22/2022,AK,1527965,85000,592320,850645,454981,41702,160850,252300,195468.0,86555.0,105934.0,2949.0
04/22/2022,AS,117010,600,24100,92310,41283,581,9413,30762,21758.0,4558.0,17198.0,2.0
04/22/2022,AR,6143680,253300,2581220,3309160,1638210,112764,665026,859082,644628.0,313682.0,320524.0,9937.0
04/22/2022,WY,970885,48100,428840,493945,297894,26784,119736,151232,128072.0,58908.0,67281.0,1831.0
04/22/2022,MH,98680,12600,54000,32080,26900,2783,20198,3916,6679.0,6337.0,314.0,28.0
04/22/2022,GU,320060,23600,85780,210680,138993,11097,40452,87338,60481.0,21792.0,37294.0,1395.0
04/22/2022,IL,27309845,1165800,9491840,16652205,8675830,623950,2810410,5232097,4417562.0,1795363.0,2566797.0,53665.0
04/22/2022,TN,12820330,512600,4902940,7404790,3715968,235799,1320044,2147659,1626876.0,688488.0,912040.0,22246.0
04/22/2022,RI,2580925,89000,981500,1510425,871702,60514,291700,519042,464467.0,197253.0,262033.0,5121.0
04/22/2022,FM,163400,12800,89940,60660,56185,12477,31661,12029,14067.0,12843.0,863.0,361.0
04/22/2022,SC,10449275,452600,4351340,5645335,2915651,207420,1039504,1668337,1142340.0,489431.0,630165.0,22238.0
04/22/2022,DC,1870805,70800,664680,1135325,520817,39427,177895,303002,196264.0,82667.0,112058.0,1462.0
04/22/2022,MI,21104610,939800,8338820,11825990,5995649,420643,2173103,3400763,3241006.0,1443630.0,1749408.0,47833.0
04/22/2022,DE,2339555,98800,905200,1335555,671271,57082,235249,378227,304122.0,130605.0,168315.0,5144.0
04/22/2022,CA,89586955,3710800,32112680,53763475,28407327,2096845,9729743,16575617,14338270.0,6159539.0,7954072.0,224079.0
04/22/2022,VA2,8036120,626400,3912380,3497340,2944410,233578,1443677,1267143,1136177.0,601117.0,513924.0,21136.0
04/22/2022,WI,11561345,452300,4332200,6776845,3810631,300139,1335050,2174536,2132482.0,885767.0,1219396.0,27189.0
04/22/2022,GA,21579595,829700,8415440,12334455,5794855,319671,2142057,3321056,2152038.0,959693.0,1165463.0,25158.0
04/22/2022,ID,3373190,157100,1315580,1900510,964147,81318,329995,552000,404690.0,177420.0,220916.0,6248.0
04/22/2022,UT,6238450,245700,2116960,3875790,2057158,169880,667165,1220099,911441.0,349233.0,549724.0,12478.0
04/22/2022,NC,21905900,928600,8260060,12717240,6377074,484054,2206601,3686266,1680403.0,736121.0,915681.0,28573.0
04/22/2022,CT,8711625,344000,3353380,5014245,2816538,230961,950736,1634387,1450548.0,661544.0,771162.0,17818.0
